theta1_des_log,theta2_des_log,theta3_des_log,theta4_des_log,Theta1FPID,Theta2FPID,Theta3FPID,Theta4FPID,Theta1KFPID,Theta2KFPID,Theta3KFPID,Theta4KFPID
100.2,161.28,141.256,98.80799999999999,(1159.003549853675+1.6449034370902325e-05j),(1217.6475656050648+1.6449034370902325e-05j),0.0,0.0,100.83754840109877,161.79759875881334,141.87759737325956,99.3975418077737
101.8962962962963,159.41407407407408,140.03466666666668,99.724,(1161.2799193654644+2.4009728023840743e-05j),(1215.5481663437529+2.4009728023840743e-05j),0.0,0.0,102.48732248167806,159.84754782590187,140.4075341151127,100.32728626990753
103.77037037037037,157.3525925925926,138.68533333333332,100.736,(1162.563603134411+3.245670138342818e-05j),(1213.3333984867113+3.245670138342818e-05j),0.0,0.0,104.17638078832827,157.9364595691395,139.2164551738486,101.29636115284407
105.8,155.12,137.224,101.832,(1164.5508619824025+4.172910302879253e-05j),(1210.7628800281354+4.172910302879253e-05j),0.0,0.0,105.765446907902,154.97123027863822,137.20927645239237,101.68490862531218
107.96296296296296,152.74074074074076,135.66666666666666,103.0,(1166.7865214391547+5.240236315274534e-05j),(1208.3007634289215+5.240236315274534e-05j),0.0,0.0,108.46886489991336,153.1089596296687,136.0689497410861,103.42882181053399
110.23703703703703,150.23925925925926,134.02933333333334,104.22800000000001,(1168.871782747965+6.282891196218483e-05j),(1205.4595785464926+6.282891196218483e-05j),0.0,0.0,110.09554918280884,150.17109529618318,133.8526315808704,104.09643259134475
112.6,147.64,132.328,105.50399999999999,(1171.4359195221816+7.464280590649807e-05j),(1202.9479406722057+7.464280590649807e-05j),0.0,0.0,112.47501484663805,147.51039553883314,132.15206551152326,105.51636976780306
115.02962962962964,144.9674074074074,130.57866666666666,106.816,(1173.971474549087+8.49608658468144e-05j),(1200.1697194120839+8.49608658468144e-05j),0.0,0.0,114.94886458007547,144.94903647381207,130.5489454920625,106.78883351773395
117.50370370370372,142.24592592592592,128.7973333333333,108.152,(1176.3893628263613+9.519617836174387e-05j),(1197.115163254622+9.519617836174387e-05j),0.0,0.0,118.04386311114438,142.76390443041893,129.32388995673088,108.68381921240072
120.0,139.5,126.99999999999999,109.5,(1178.5277110616203+0.00010656821037109419j),(1194.37373024508+0.00010656821037109419j),0.0,0.0,120.5113387764028,139.95139716508353,127.47136840077438,109.95125788275585
122.49629629629631,136.75407407407408,125.20266666666666,110.848,(1180.9794385800158+0.00011714189727621045j),(1191.6096802253464+0.00011714189727621045j),0.0,0.0,122.76827033195202,137.16828110052185,125.64827355535978,111.24824676525927
124.97037037037038,134.0325925925926,123.42133333333332,112.18400000000001,(1183.258377223669+0.000126926468159047j),(1188.5841727654984+0.000126926468159047j),0.0,0.0,125.57142564279206,134.45143395751225,123.89142334907615,112.61139735362903
127.4,131.35999999999999,121.672,113.496,(1185.643168988035+0.00013775171507169758j),(1185.9911864593107+0.00013775171507169758j),0.0,0.0,127.38061218418053,131.22013715278115,121.62136225539923,113.46250835297074
129.762962962963,128.76074074074074,119.97066666666666,114.77199999999999,(1188.102712046682+0.00014752391318206395j),(1183.7109526210602+0.00014752391318206395j),0.0,0.0,129.8260114145545,128.86590038218586,119.98483300555763,114.70416181826394
132.03703703703704,126.25925925925927,118.33333333333331,115.99999999999999,(1190.2414113207394+0.00015511008587306509j),(1180.5872062022395+0.00015511008587306509j),0.0,0.0,132.26147063540995,126.50146848737117,118.58146335594532,116.1814610408369
134.20000000000005,123.88,116.776,117.168,(1192.3604344047906+0.00016552744159699007j),(1178.5124510720616+0.00016552744159699007j),0.0,0.0,134.54803597464218,124.22803382550298,117.26803084058757,117.50803093610486
136.22962962962964,121.6474074074074,115.31466666666665,118.26400000000001,(1194.1180735561613+0.00017391361804206182j),(1176.3843098036998+0.00017391361804206182j),0.0,0.0,136.2595800557242,121.62095149190378,115.14163409937723,118.26129893344668
138.10370370370373,119.58592592592592,113.96533333333332,119.27600000000002,(1195.7717767495633+0.00018152855445315502j),(1174.5395665280819+0.00018152855445315502j),0.0,0.0,137.946924227809,119.46817605457946,113.94867698551705,119.22819642910808
139.8,117.72,112.74399999999999,120.19200000000001,(1197.6132072586452+0.00018782046045193285j),(1172.677220441742+0.00018782046045193285j),0.0,0.0,139.81772792118971,117.49641916894814,112.69618193436825,120.13655804930517
141.2962962962963,116.07407407407406,111.66666666666666,121.00000000000003,(1198.779497462218+0.00019378804902567617j),(1171.3577301603086+0.00019378804902567617j),0.0,0.0,141.3218688419126,116.120882864818,111.56069783041195,120.92107398390212
142.57037037037037,114.67259259259258,110.74933333333331,121.68799999999999,(1199.9034850723701+0.0001979546923509258j),(1169.7812721733087+0.0001979546923509258j),0.0,0.0,142.49587738562462,114.65405807129288,110.57367776904385,121.61462967175264
143.60000000000002,113.54000000000002,110.00800000000001,122.244,(1200.796662804376+0.00020267397059273016j),(1168.8466709975778+0.00020267397059273016j),0.0,0.0,143.93898764286263,113.93898028713836,110.33897723021393,122.57898449040938
144.36296296296297,112.70074074074076,109.45866666666666,122.656,(1201.229871989582+0.00020633589260031626j),(1168.236099909625+0.00020633589260031626j),0.0,0.0,144.4094230280128,112.7282985286611,109.36811994495467,122.56875431336924
144.83703703703705,112.17925925925928,109.11733333333332,122.91199999999999,(1201.5099077772857+0.0002088244111857368j),(1167.8316898710236+0.0002088244111857368j),0.0,0.0,145.16572467840186,112.52571951929659,109.6457179429033,123.32572291093064
